cluster	count	casing patterns
या	11465	
र	8052	
न	7716	
न्‍	7686	
इ	6853	
ह	6157	
रु	5230	
ले	4706	
क	4573	
स्‍	3474	
ति	3145	
भु	2829	
ग	2803	
मा	2795	
प	2794	
को	2608	
नि	2566	
का	2469	
त	2449	
नु	2336	
उ	2281	
स	2271	
अ	2176	
बा	2115	
मै	1998	
य	1982	
म	1954	
ना	1951	
ला	1856	
मि	1829	
आ	1803	
म्‍	1747	
क्‍	1724	
दि	1684	
रा	1643	
रि	1610	
सु	1591	
तु	1566	
हु	1536	
ते	1532	
हा	1500	
ब	1401	
पा	1280	
मु	1224	
छि	1183	
बि	1178	
न्	1160	
पु	1117	
र्‍	1110	
यो	1108	
छु	1103	
छ	1100	
ठ	1092	
त्‍	1081	
मे	1020	
ल	1016	
डा	1007	
भ	923	
सो	922	
सा	919	
ल्‍	918	
ट	914	
कु	904	
र्	835	
दा	818	
सि	758	
दे	725	
कि	721	
जा	713	
मो	705	
ए	704	
बै	702	
जु	624	
लि	619	
ख्‍	603	
रो	599	
ग्‍	585	
द	575	
द्‌	567	
लो	545	
ज	517	
प्	508	
ड्‌	498	
हो	498	
ज्‍	497	
डि	478	
खा	453	
छो	443	
ता	426	
गा	423	
दै	414	
थै	395	
व	385	
रै	377	
नै	373	
उँ	372	
ख	352	
स्	351	
च	347	
दु	340	
बे	335	
कै	330	
टा	329	
चे	327	
हे	322	
च्‍	313	
नो	311	
खि	306	
फ	303	
दो	301	
तै	299	
गु	297	
ड	296	
घ	293	
हि	292	
हाँ	281	
चा	280	
भा	280	
थो	266	
के	262	
छौ	259	
ध	257	
ठा	255	
प्‍	255	
बु	252	
जै	251	
जो	248	
ठु	243	
ताँ	228	
चि	225	
तो	222	
द्‍	213	
टि	212	
ट्‌	210	
है	210	
यु	207	
ठौ	201	
पि	201	
पै	201	
छा	199	
थ्‍	197	
फे	195	
तिँ	192	
जि	185	
भे	179	
खो	176	
से	165	
ओ	158	
चो	158	
ख्	154	
टो	154	
थ	151	
थाँ	145	
चु	141	
ने	141	
बो	141	
भि	141	
ड्‍	131	
थि	129	
डो	126	
यि	120	
नौ	119	
यौं	119	
यिँ	110	
खु	109	
छ्‌	108	
युँ	104	
लै	104	
गे	100	
फि	100	
जाँ	99	
रे	99	
ब्‍	98	
याँ	98	
हुँ	97	
ढु	94	
था	94	
ग्	92	
ट्‍	91	
वा	91	
क्	90	
छौं	88	
यौ	87	
छ्‍	82	
आँ	78	
र्‌	78	
पो	75	
लु	75	
फा	72	
ठि	69	
टै	68	
गि	67	
घो	67	
हौ	66	
भो	64	
गो	63	
खे	61	
झाँ	60	
धु	59	
डे	58	
गै	57	
भै	55	
झ	51	
झु	51	
जौ	50	
झ्‍	49	
ठ्‌	49	
बाँ	49	
ब्	44	
टु	43	
न्‌	43	
सै	43	
ठे	40	
डै	40	
धे	39	
झा	36	
भ्‍	36	
ङ्‍	35	
रौ	35	
काँ	34	
अं	33	
छे	32	
डाँ	32	
द्	32	
म्	32	
छै	31	
धि	31	
हँ	31	
ड्	30	
फु	30	
भौ	30	
ठो	29	
धा	29	
झो	28	
टे	28	
डु	28	
दौ	28	
औ	27	
ढुं	27	
थे	27	
थु	26	
खाँ	25	
जे	25	
टाँ	23	
खै	22	
ठ्‍	22	
ढ	21	
पाँ	21	
ङ्‌	20	
त्	20	
स्‌	20	
चौ	19	
ढा	19	
ल्	19	
घु	18	
पे	18	
खौ	17	
घा	16	
त्‌	16	
ध्‍	16	
भाँ	16	
हौं	16	
यै	15	
चाँ	14	
थ्	14	
लौ	14	
अँ	13	
घि	13	
चै	13	
पौ	13	
मौ	13	
यौँ	13	
नौं	12	
इँ	11	
ढो	11	
ण	11	
रुँ	10	
रौँ	10	
रौं	10	
घुँ	9	
धो	9	
फो	9	
सं	9	
टौ	8	
पुं	8	
सुँ	8	
कृ	7	
ग्‌	7	
डौ	7	
ट्	6	
ठाँ	6	
ङ	5	
डुँ	5	
ढ्‌	5	
ण्‍	5	
पिँ	5	
कौ	4	
च्	4	
झि	4	
ढाँ	4	
तौ	4	
धौ	4	
नाँ	4	
फिँ	4	
फै	4	
बौ	4	
लं	4	
हं	4	
१	4	
कुँ	3	
कौं	3	
घाँ	3	
घे	3	
ठ्	3	
ढि	3	
दाँ	3	
दिँ	3	
फ्	3	
भुँ	3	
म्‌	3	
वाँ	3	
ऐँ	2	
औं	2	
क्‌	2	
गौ	2	
चुँ	2	
छौँ	2	
ज्	2	
झौ	2	
झ्‍ँ	2	
ठिँ	2	
ठै	2	
तं	2	
तैः	2	
पुँ	2	
फौ	2	
फ्‍	2	
बुँ	2	
बुं	2	
ये	2	
रं	2	
राँ	2	
ल्‌	2	
सिं	2	
सृ	2	
सौं	2	
हिँ	2	
हौँ	2	
ह्‍	2	
६	2	
ऐ	1	
किं	1	
गाँ	1	
गौं	1	
च्‌	1	
छः	1	
छुँ	1	
छौः	1	
जँ	1	
जं	1	
जः	1	
जिँ	1	
जौँ	1	
ज्‌	1	
झुँ	1	
झ्	1	
ढे	1	
तौँ	1	
थौ	1	
दं	1	
दिे	1	
दु‍	1	
नः	1	
पैँ	1	
भ्	1	
भ्‌	1	
या‌	1	
यैँ	1	
लौं	1	
वि	1	
साँ	1	
सां	1	
सौ	1	
हां	1	
०	1	
४	1	
५	1	
