cluster	count
ന്	115795
വ	66870
ക്	65939
അ	58155
ത്	49996
ക	49318
നു	43307
യ	35971
തി	33162
കു	31379
നി	31195
ടു	30419
ൽ	30229
എ	28295
ന	27410
ൻ	27011
റെ	26513
പ്	25535
ര	25512
യി	25180
രു	23870
ർ	23817
ങ്	23391
ത	23351
തു	23186
ച്	21883
പ	20613
മാ	19992
ടെ	19176
ണ്	18989
രി	18790
മ	18057
ങ	17604
ല്	17440
വി	17194
ല	16644
യും	15882
ട്	15194
ൾ	14733
ചു	14388
നെ	14103
ട	13994
സ്	13138
സ	12153
റ	11957
യാ	11913
കാ	11678
ആ	11567
രാ	11531
നാ	11477
ള	11430
പി	11250
പോ	11033
യു	10599
ടി	10559
വാ	10258
കൊ	10160
ഇ	9987
ഞ്	9130
ചെ	8985
ഹോ	8730
യ്	8675
ള്	8233
ഞാ	8174
പു	7809
മ്	7543
പാ	7529
മി	7514
ഒ	7487
ശ	7438
കി	7325
മു	7264
ഉ	7226
രെ	6940
ളി	6885
ച	6863
കും	6803
താ	6740
തെ	6723
ദ്	6448
ലെ	6273
നീ	6161
നോ	6112
നേ	5796
ളു	5793
കേ	5717
നും	5575
യേ	5428
യെ	5401
യോ	5362
ഞു	5302
റി	5229
രോ	5204
ണ	5008
ളെ	4980
വും	4953
രം	4922
വെ	4894
ലി	4827
ദ	4784
ലും	4445
കൂ	4373
പെ	4356
ണം	4323
ടാ	4252
ഷ്	4244
ജ	4180
ജാ	4151
കെ	4124
ദൈ	4089
മേ	4084
ഹ	4023
റ്	4013
ലാ	3997
ദി	3780
ഗ	3738
ചി	3665
രും	3540
ഞ	3492
വേ	3485
ശ്	3470
വീ	3460
ഷ	3454
ധ	3440
ധി	3335
ശു	3314
ഴി	3311
ദാ	3262
ടും	3249
വു	3246
ദേ	3179
തോ	3128
ലേ	3091
സം	3062
ഷി	3010
ഹി	3009
റു	2951
മോ	2931
യം	2879
ഭ	2867
ലോ	2843
ഴു	2757
സി	2744
ഗ്	2556
സാ	2549
ഏ	2502
ളും	2482
ശി	2335
ര്	2294
ണി	2290
വ്	2227
ഹാ	2170
നം	2135
ബ	2105
ലു	2096
ബ്	1938
പേ	1923
ഈ	1917
ളോ	1875
കോ	1829
ശേ	1798
ങി	1721
രൂ	1721
രേ	1717
തീ	1707
മൂ	1667
തും	1644
ഓ	1623
ഥ	1579
വം	1554
ജ്	1545
ബാ	1526
തം	1448
ഭാ	1436
ശാ	1421
ഭൂ	1399
തേ	1396
ഹൂ	1394
ശെ	1359
കൈ	1288
പൊ	1277
മെ	1276
രീ	1247
ണു	1246
ചാ	1224
